time,averageWindDirection,averageWindSpeed,averageAirTemp,averageRelativeHumidity,averageAirPressure
"2020-01-10 16:00:00",270,2.2983333333333,6.1166666666667,59.048333333333,992.50333333333
"2020-01-10 17:00:00",262,1.9333333333333,5.95,60.565,992.955
"2020-01-10 18:00:00",247,2.3933333333333,6.3116666666667,61.633333333333,993.27333333333
"2020-01-10 19:00:00",238,1.705,6.2366666666667,63.901666666667,993.655
"2020-01-10 20:00:00",210,1.1566666666667,6.0783333333333,63.978333333333,994.175
"2020-01-10 21:00:00",189,0.64,6.07,63.808333333333,994.345
"2020-01-10 22:00:00",241,0.71333333333333,6.44,63.95,994.475
"2020-01-10 23:00:00",232,1.015,6.465,64.591666666667,994.47666666667
"2020-01-11 00:00:00",279,1.525,6.6766666666667,63.508333333333,994.60666666667
"2020-01-11 01:00:00",278,2.715,6.65,62.48,994.91166666667
"2020-01-11 02:00:00",267,3.1533333333333,6.4833333333333,63.421666666667,995.11166666667
"2020-01-11 03:00:00",262,2.715,5.9816666666667,64.478333333333,995.51333333333
"2020-01-11 04:00:00",271,2.2283333333333,5.2816666666667,67.506666666667,996.17
"2020-01-11 05:00:00",274,2.865,5.23,68.89,996.57166666667
"2020-01-11 06:00:00",275,3.5316666666667,5.0166666666667,70.261666666667,997.34666666667
"2020-01-11 07:00:00",273,3.1416666666667,5.0333333333333,70.893333333333,998.45666666667
"2020-01-11 08:00:00",271,3.5133333333333,4.7666666666667,73.53,999.55166666667
"2020-01-11 09:00:00",271,3.34,4.6,74.643333333333,1000.2616666667
"2020-01-11 10:00:00",268,3.4933333333333,4.6266666666667,73.815,1000.6333333333
"2020-01-11 11:00:00",269,2.5683333333333,4.36,75.55,1001.0316666667
"2020-01-11 12:00:00",264,2.4533333333333,4.455,74.066666666667,1001.3366666667
"2020-01-11 13:00:00",277,3.0666666666667,4.615,72.186666666667,1001.6716666667
"2020-01-11 14:00:00",254,2.2016666666667,4.5416666666667,71.418333333333,1002.215
"2020-01-11 15:00:00",247,2.39,4.1133333333333,75.065,1002.8716666667
"2020-01-11 16:00:00",253,1.9466666666667,3.7683333333333,77.561666666667,1003.3183333333
"2020-01-11 17:00:00",252,2.1616666666667,3.5616666666667,77.723333333333,1003.44
"2020-01-11 18:00:00",261,1.8966666666667,3.3983333333333,77.891666666667,1003.585
"2020-01-11 19:00:00",268,2.1783333333333,3.4883333333333,76.923333333333,1004.0083333333
"2020-01-11 20:00:00",277,2.2216666666667,3.3766666666667,77.65,1004.255
"2020-01-11 21:00:00",275,1.255,3.3816666666667,77.688333333333,1004.2216666667
"2020-01-11 22:00:00",240,1.135,3.1583333333333,77.948333333333,1003.97
